ID-5280 | topical=YES | strict=NO | fp=thin-removed
ID-5281 | topical=YES | strict=YES | fp=-
ID-5282 | topical=YES | strict=NO | fp=third-party
ID-5283 | topical=NO | strict=NO | fp=theme-mismatch
ID-5284 | topical=YES | strict=NO | fp=thin-removed
ID-5285 | topical=YES | strict=YES | fp=-
ID-5286 | topical=NO | strict=NO | fp=theme-mismatch
ID-5287 | topical=YES | strict=YES | fp=-
ID-5288 | topical=YES | strict=YES | fp=-
ID-5289 | topical=NO | strict=NO | fp=non-ai-literal
ID-5290 | topical=NO | strict=NO | fp=theme-mismatch
ID-5291 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5292 | topical=YES | strict=YES | fp=-
ID-5293 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5294 | topical=YES | strict=NO | fp=thin-removed
ID-5295 | topical=NO | strict=NO | fp=theme-mismatch
ID-5296 | topical=YES | strict=NO | fp=third-party
ID-5297 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5298 | topical=NO | strict=NO | fp=theme-mismatch
ID-5299 | topical=NO | strict=NO | fp=theme-mismatch
ID-5300 | topical=YES | strict=NO | fp=thin-removed
ID-5301 | topical=YES | strict=YES | fp=-
ID-5302 | topical=YES | strict=YES | fp=-
ID-5303 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5304 | topical=YES | strict=YES | fp=-
ID-5305 | topical=NO | strict=NO | fp=theme-mismatch
ID-5306 | topical=YES | strict=NO | fp=thin-removed
ID-5307 | topical=NO | strict=NO | fp=theme-mismatch
ID-5308 | topical=YES | strict=YES | fp=-
ID-5309 | topical=YES | strict=NO | fp=thin-removed
ID-5310 | topical=YES | strict=YES | fp=-
ID-5311 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5312 | topical=YES | strict=NO | fp=theme-mismatch
ID-5313 | topical=YES | strict=YES | fp=-
ID-5314 | topical=YES | strict=NO | fp=thin-removed
ID-5315 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5316 | topical=YES | strict=YES | fp=-
ID-5317 | topical=NO | strict=NO | fp=theme-mismatch
ID-5318 | topical=BORD | strict=NO | fp=theme-mismatch
ID-5319 | topical=NO | strict=NO | fp=theme-mismatch
