ID-0903 | topical=YES | strict=NO | fp=thin-removed
ID-0708 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1079 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1084 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0939 | topical=YES | strict=NO | fp=thin-removed
ID-0966 | topical=YES | strict=YES | fp=-
ID-1029 | topical=YES | strict=YES | fp=-
ID-1023 | topical=YES | strict=YES | fp=-
ID-0917 | topical=YES | strict=YES | fp=-
ID-0851 | topical=YES | strict=YES | fp=-
ID-0757 | topical=NO | strict=NO | fp=theme-mismatch
ID-1014 | topical=NO | strict=NO | fp=theme-mismatch
ID-0960 | topical=BORD | strict=NO | fp=rp-internal
ID-0870 | topical=YES | strict=YES | fp=-
ID-0995 | topical=YES | strict=YES | fp=-
ID-0758 | topical=YES | strict=NO | fp=thin-removed
ID-0925 | topical=YES | strict=YES | fp=-
ID-0794 | topical=YES | strict=YES | fp=-
ID-0977 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0985 | topical=YES | strict=NO | fp=thin-removed
ID-1069 | topical=NO | strict=NO | fp=theme-mismatch
ID-0818 | topical=YES | strict=NO | fp=thin-removed
ID-0746 | topical=BORD | strict=NO | fp=third-party
ID-0913 | topical=YES | strict=YES | fp=-
ID-0894 | topical=YES | strict=YES | fp=-
ID-1017 | topical=YES | strict=YES | fp=-
ID-0967 | topical=YES | strict=NO | fp=theme-mismatch
ID-1016 | topical=BORD | strict=NO | fp=rp-internal
ID-0916 | topical=YES | strict=NO | fp=thin-removed
ID-1040 | topical=BORD | strict=NO | fp=thin-removed
ID-1013 | topical=YES | strict=YES | fp=-
ID-0970 | topical=YES | strict=YES | fp=-
ID-0762 | topical=BORD | strict=NO | fp=third-party
ID-0816 | topical=YES | strict=YES | fp=-
ID-1037 | topical=YES | strict=YES | fp=-
ID-1060 | topical=YES | strict=YES | fp=-
ID-0915 | topical=YES | strict=YES | fp=-
ID-0911 | topical=YES | strict=YES | fp=-
ID-0735 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0947 | topical=YES | strict=YES | fp=-
