ID-4001 | topical=YES | strict=YES | fp=-
ID-4002 | topical=YES | strict=NO | fp=theme-mismatch
ID-4003 | topical=YES | strict=YES | fp=-
ID-4004 | topical=NO | strict=NO | fp=theme-mismatch
ID-4005 | topical=YES | strict=BORD | fp=theme-mismatch
ID-4006 | topical=NO | strict=NO | fp=theme-mismatch
ID-4007 | topical=YES | strict=NO | fp=thin-removed
ID-4008 | topical=BORD | strict=NO | fp=theme-mismatch
ID-4009 | topical=YES | strict=YES | fp=-
ID-4010 | topical=YES | strict=YES | fp=-
ID-4011 | topical=YES | strict=YES | fp=-
ID-4012 | topical=YES | strict=BORD | fp=bot-card
ID-4013 | topical=YES | strict=YES | fp=-
ID-4014 | topical=YES | strict=YES | fp=-
ID-4015 | topical=YES | strict=BORD | fp=thin-removed
ID-4016 | topical=YES | strict=YES | fp=-
ID-4017 | topical=NO | strict=NO | fp=bot-card
ID-4018 | topical=YES | strict=NO | fp=thin-removed
ID-4019 | topical=YES | strict=YES | fp=-
ID-4020 | topical=NO | strict=NO | fp=theme-mismatch
ID-4021 | topical=YES | strict=BORD | fp=thin-removed
ID-4022 | topical=BORD | strict=NO | fp=thin-removed
ID-4023 | topical=YES | strict=YES | fp=-
ID-4024 | topical=YES | strict=YES | fp=-
ID-4025 | topical=YES | strict=YES | fp=-
ID-4026 | topical=BORD | strict=NO | fp=theme-mismatch
ID-4027 | topical=BORD | strict=NO | fp=thin-removed
ID-4028 | topical=YES | strict=BORD | fp=theme-mismatch
ID-4029 | topical=YES | strict=YES | fp=-
ID-4030 | topical=NO | strict=NO | fp=third-party
ID-4031 | topical=YES | strict=YES | fp=-
ID-4032 | topical=BORD | strict=NO | fp=theme-mismatch
ID-4033 | topical=BORD | strict=NO | fp=theme-mismatch
ID-4034 | topical=YES | strict=YES | fp=-
ID-4035 | topical=NO | strict=NO | fp=theme-mismatch
ID-4036 | topical=NO | strict=NO | fp=theme-mismatch
ID-4037 | topical=BORD | strict=NO | fp=thin-removed
ID-4038 | topical=NO | strict=NO | fp=theme-mismatch
ID-4039 | topical=NO | strict=NO | fp=bot-card
ID-4040 | topical=BORD | strict=NO | fp=thin-removed
