NS-0139 | themes=none | ai_referent=NO
NS-0089 | themes=rupture | ai_referent=YES
NS-0120 | themes=rupture | ai_referent=YES
NS-0142 | themes=none | ai_referent=NO
NS-0017 | themes=none | ai_referent=NO
NS-0152 | themes=none | ai_referent=NO
NS-0061 | themes=none | ai_referent=NO
NS-0084 | themes=none | ai_referent=NO
NS-0093 | themes=none | ai_referent=YES
NS-0031 | themes=none | ai_referent=NO
NS-0107 | themes=rupture | ai_referent=NO
NS-0025 | themes=none | ai_referent=NO
NS-0116 | themes=none | ai_referent=YES
NS-0027 | themes=none | ai_referent=NO
NS-0094 | themes=romance | ai_referent=YES
NS-0023 | themes=romance | ai_referent=YES
NS-0113 | themes=none | ai_referent=NO
NS-0028 | themes=none | ai_referent=NO
NS-0109 | themes=none | ai_referent=NO
NS-0099 | themes=none | ai_referent=NO
NS-0059 | themes=none | ai_referent=NO
NS-0134 | themes=sexual_erp | ai_referent=NO
NS-0046 | themes=none | ai_referent=NO
NS-0021 | themes=sexual_erp | ai_referent=YES
NS-0114 | themes=none | ai_referent=NO
NS-0036 | themes=none | ai_referent=NO
NS-0052 | themes=none | ai_referent=NO
NS-0015 | themes=none | ai_referent=NO
NS-0045 | themes=none | ai_referent=NO
NS-0100 | themes=rupture | ai_referent=YES
NS-0082 | themes=rupture | ai_referent=YES
NS-0124 | themes=rupture | ai_referent=YES
NS-0140 | themes=consciousness,romance | ai_referent=YES
NS-0108 | themes=rupture | ai_referent=YES
NS-0074 | themes=none | ai_referent=NO
NS-0110 | themes=rupture | ai_referent=YES
NS-0129 | themes=none | ai_referent=NO
NS-0038 | themes=none | ai_referent=NO
NS-0092 | themes=none | ai_referent=NO
NS-0033 | themes=none | ai_referent=NO
