ID-0299 | topical=NO | strict=NO | fp=bot-card
ID-0192 | topical=YES | strict=YES | fp=-
ID-0302 | topical=YES | strict=YES | fp=-
ID-0201 | topical=YES | strict=YES | fp=-
ID-0273 | topical=NO | strict=NO | fp=theme-mismatch
ID-0237 | topical=YES | strict=YES | fp=-
ID-0182 | topical=YES | strict=BORD | fp=third-party
ID-0215 | topical=YES | strict=YES | fp=-
ID-0289 | topical=NO | strict=NO | fp=thin-removed
ID-0252 | topical=YES | strict=YES | fp=-
ID-0297 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0240 | topical=YES | strict=BORD | fp=third-party
ID-0272 | topical=YES | strict=YES | fp=-
ID-0196 | topical=YES | strict=YES | fp=-
ID-0276 | topical=YES | strict=YES | fp=-
ID-0194 | topical=YES | strict=YES | fp=-
ID-0208 | topical=NO | strict=NO | fp=theme-mismatch
ID-0316 | topical=YES | strict=YES | fp=-
ID-0339 | topical=YES | strict=YES | fp=-
ID-0251 | topical=YES | strict=YES | fp=-
ID-0288 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0317 | topical=YES | strict=YES | fp=-
ID-0292 | topical=YES | strict=YES | fp=-
ID-0257 | topical=NO | strict=NO | fp=theme-mismatch
ID-0318 | topical=NO | strict=NO | fp=theme-mismatch
ID-0200 | topical=YES | strict=YES | fp=-
ID-0178 | topical=NO | strict=NO | fp=theme-mismatch
ID-0174 | topical=NO | strict=NO | fp=theme-mismatch
ID-0291 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0256 | topical=YES | strict=YES | fp=-
ID-0330 | topical=NO | strict=NO | fp=theme-mismatch
ID-0287 | topical=YES | strict=YES | fp=-
ID-0189 | topical=YES | strict=YES | fp=-
ID-0340 | topical=YES | strict=YES | fp=-
ID-0228 | topical=YES | strict=YES | fp=-
ID-0309 | topical=YES | strict=YES | fp=-
ID-0310 | topical=YES | strict=YES | fp=-
ID-0238 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0244 | topical=YES | strict=YES | fp=-
ID-0166 | topical=YES | strict=YES | fp=-
