ID-0906 | topical=YES | strict=YES | fp=-
ID-0879 | topical=NO | strict=NO | fp=theme-mismatch
ID-0769 | topical=YES | strict=YES | fp=-
ID-0764 | topical=NO | strict=NO | fp=third-party
ID-0756 | topical=YES | strict=YES | fp=-
ID-1089 | topical=YES | strict=YES | fp=-
ID-0690 | topical=YES | strict=YES | fp=-
ID-1095 | topical=NO | strict=NO | fp=theme-mismatch
ID-0732 | topical=YES | strict=YES | fp=-
ID-0686 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0809 | topical=YES | strict=YES | fp=-
ID-0878 | topical=YES | strict=YES | fp=-
ID-0768 | topical=YES | strict=YES | fp=-
ID-0912 | topical=YES | strict=YES | fp=-
ID-0740 | topical=YES | strict=YES | fp=-
ID-1035 | topical=YES | strict=YES | fp=-
ID-0892 | topical=YES | strict=YES | fp=-
ID-0839 | topical=YES | strict=YES | fp=-
ID-0805 | topical=YES | strict=YES | fp=-
ID-0745 | topical=YES | strict=YES | fp=-
ID-1066 | topical=YES | strict=BORD | fp=theme-mismatch
ID-1087 | topical=BORD | strict=NO | fp=ironic-rejection
ID-0737 | topical=NO | strict=NO | fp=theme-mismatch
ID-0848 | topical=YES | strict=YES | fp=-
ID-0961 | topical=YES | strict=YES | fp=-
ID-0736 | topical=YES | strict=BORD | fp=theme-mismatch
ID-0927 | topical=YES | strict=YES | fp=-
ID-0829 | topical=NO | strict=NO | fp=theme-mismatch
ID-0716 | topical=BORD | strict=NO | fp=theme-mismatch
ID-1053 | topical=BORD | strict=NO | fp=third-party
ID-0743 | topical=YES | strict=YES | fp=-
ID-0711 | topical=BORD | strict=NO | fp=theme-mismatch
ID-0759 | topical=YES | strict=YES | fp=-
ID-0751 | topical=BORD | strict=NO | fp=third-party
ID-1033 | topical=YES | strict=YES | fp=-
ID-0910 | topical=YES | strict=YES | fp=-
ID-0703 | topical=YES | strict=YES | fp=-
ID-0959 | topical=BORD | strict=NO | fp=wrong-referent
ID-1025 | topical=YES | strict=NO | fp=thin-removed
ID-1015 | topical=YES | strict=YES | fp=-
