ID-0800 | topical=YES | strict=YES | fp=-
ID-1011 | topical=YES | strict=YES | fp=-
ID-1041 | topical=YES | strict=NO | fp=thin-removed
ID-0775 | topical=YES | strict=YES | fp=-
ID-1050 | topical=YES | strict=NO | fp=third-party
ID-0850 | topical=NO | strict=NO | fp=theme-mismatch
ID-0773 | topical=YES | strict=YES | fp=-
ID-0844 | topical=YES | strict=YES | fp=-
ID-0785 | topical=NO | strict=NO | fp=third-party
ID-1028 | topical=NO | strict=NO | fp=theme-mismatch
ID-0698 | topical=YES | strict=YES | fp=-
ID-1000 | topical=YES | strict=YES | fp=-
ID-0815 | topical=YES | strict=YES | fp=-
ID-0790 | topical=YES | strict=YES | fp=-
ID-0830 | topical=NO | strict=NO | fp=rp-internal
ID-1057 | topical=NO | strict=NO | fp=third-party
ID-0706 | topical=YES | strict=BORD | fp=thin-removed
ID-1080 | topical=YES | strict=YES | fp=-
ID-0882 | topical=YES | strict=YES | fp=-
ID-0956 | topical=YES | strict=BORD | fp=rp-internal
ID-0823 | topical=YES | strict=YES | fp=-
ID-0854 | topical=YES | strict=YES | fp=-
ID-0742 | topical=YES | strict=YES | fp=-
ID-1090 | topical=YES | strict=BORD | fp=thin-removed
ID-0826 | topical=YES | strict=YES | fp=-
ID-0808 | topical=YES | strict=YES | fp=-
ID-0786 | topical=YES | strict=YES | fp=-
ID-0744 | topical=YES | strict=YES | fp=-
ID-1049 | topical=YES | strict=YES | fp=-
ID-0891 | topical=YES | strict=YES | fp=-
ID-0727 | topical=YES | strict=YES | fp=-
ID-1093 | topical=YES | strict=NO | fp=theme-mismatch
ID-0741 | topical=YES | strict=YES | fp=-
ID-0761 | topical=YES | strict=BORD | fp=thin-removed
ID-0748 | topical=YES | strict=YES | fp=-
ID-0834 | topical=NO | strict=NO | fp=wrong-referent
ID-0738 | topical=YES | strict=YES | fp=-
ID-0986 | topical=NO | strict=NO | fp=rp-internal
ID-0747 | topical=YES | strict=NO | fp=third-party
ID-0770 | topical=YES | strict=YES | fp=-
