NS-0087 | themes=none | ai_referent=NO
NS-0007 | themes=rupture | ai_referent=NO
NS-0040 | themes=none | ai_referent=NO
NS-0125 | themes=addiction | ai_referent=YES
NS-0019 | themes=none | ai_referent=YES
NS-0010 | themes=none | ai_referent=NO
NS-0130 | themes=none | ai_referent=NO
NS-0049 | themes=consciousness | ai_referent=NO
NS-0077 | themes=rupture,sexual_erp | ai_referent=YES
NS-0103 | themes=none | ai_referent=NO
NS-0064 | themes=none | ai_referent=NO
NS-0132 | themes=none | ai_referent=NO
NS-0035 | themes=rupture | ai_referent=NO
NS-0128 | themes=none | ai_referent=YES
NS-0154 | themes=rupture | ai_referent=YES
NS-0055 | themes=none | ai_referent=NO
NS-0143 | themes=none | ai_referent=NO
NS-0008 | themes=consciousness | ai_referent=YES
NS-0122 | themes=rupture | ai_referent=NO
NS-0133 | themes=none | ai_referent=NO
NS-0096 | themes=none | ai_referent=NO
NS-0085 | themes=none | ai_referent=NO
NS-0012 | themes=rupture | ai_referent=NO
NS-0105 | themes=rupture | ai_referent=NO
NS-0005 | themes=none | ai_referent=NO
NS-0136 | themes=none | ai_referent=YES
NS-0044 | themes=none | ai_referent=YES
NS-0115 | themes=rupture | ai_referent=YES
NS-0022 | themes=none | ai_referent=NO
NS-0147 | themes=none | ai_referent=YES
NS-0076 | themes=none | ai_referent=NO
NS-0153 | themes=none | ai_referent=NO
NS-0034 | themes=none | ai_referent=NO
NS-0030 | themes=rupture | ai_referent=NO
NS-0097 | themes=rupture,romance | ai_referent=YES
NS-0144 | themes=rupture | ai_referent=YES
NS-0138 | themes=none | ai_referent=NO
NS-0037 | themes=none | ai_referent=NO
NS-0070 | themes=rupture | ai_referent=YES
NS-0042 | themes=none | ai_referent=NO
