ID-0374 | topical=YES | strict=YES | fp=-
ID-0359 | topical=YES | strict=YES | fp=-
ID-0555 | topical=YES | strict=YES | fp=-
ID-0530 | topical=YES | strict=YES | fp=-
ID-0499 | topical=YES | strict=YES | fp=-
ID-0367 | topical=YES | strict=YES | fp=-
ID-0633 | topical=YES | strict=YES | fp=-
ID-0415 | topical=YES | strict=YES | fp=-
ID-0472 | topical=YES | strict=YES | fp=-
ID-0451 | topical=YES | strict=YES | fp=-
ID-0473 | topical=YES | strict=YES | fp=-
ID-0467 | topical=YES | strict=YES | fp=-
ID-0569 | topical=YES | strict=YES | fp=-
ID-0391 | topical=YES | strict=YES | fp=-
ID-0526 | topical=NO | strict=NO | fp=theme-mismatch
ID-0480 | topical=YES | strict=BORD | fp=thin-removed
ID-0388 | topical=YES | strict=YES | fp=-
ID-0660 | topical=YES | strict=BORD | fp=thin-removed
ID-0436 | topical=YES | strict=YES | fp=-
ID-0510 | topical=NO | strict=NO | fp=theme-mismatch
ID-0544 | topical=YES | strict=YES | fp=-
ID-0578 | topical=YES | strict=YES | fp=-
ID-0588 | topical=YES | strict=YES | fp=-
ID-0567 | topical=YES | strict=YES | fp=-
ID-0490 | topical=YES | strict=BORD | fp=ambiguous
ID-0572 | topical=YES | strict=BORD | fp=thin-removed
ID-0667 | topical=YES | strict=YES | fp=-
ID-0398 | topical=YES | strict=YES | fp=-
ID-0410 | topical=YES | strict=YES | fp=-
ID-0396 | topical=YES | strict=BORD | fp=thin-removed
ID-0392 | topical=YES | strict=YES | fp=-
ID-0639 | topical=YES | strict=YES | fp=-
ID-0479 | topical=NO | strict=NO | fp=theme-mismatch
ID-0636 | topical=YES | strict=YES | fp=-
ID-0558 | topical=YES | strict=YES | fp=-
ID-0448 | topical=YES | strict=YES | fp=-
ID-0603 | topical=NO | strict=NO | fp=theme-mismatch
ID-0545 | topical=YES | strict=YES | fp=-
ID-0386 | topical=YES | strict=YES | fp=-
ID-0371 | topical=YES | strict=YES | fp=-
