NS-0048 | themes=none | ai_referent=NO
NS-0029 | themes=romance | ai_referent=YES
NS-0156 | themes=rupture | ai_referent=NO
NS-0043 | themes=none | ai_referent=YES
NS-0148 | themes=none | ai_referent=NO
NS-0091 | themes=none | ai_referent=NO
NS-0158 | themes=none | ai_referent=NO
NS-0039 | themes=none | ai_referent=NO
NS-0058 | themes=none | ai_referent=NO
NS-0047 | themes=none | ai_referent=YES
NS-0146 | themes=rupture | ai_referent=NO
NS-0118 | themes=romance | ai_referent=YES
NS-0032 | themes=rupture | ai_referent=YES
NS-0041 | themes=none | ai_referent=NO
NS-0090 | themes=romance | ai_referent=YES
NS-0051 | themes=rupture | ai_referent=YES
NS-0071 | themes=rupture | ai_referent=YES
NS-0157 | themes=rupture,therapy | ai_referent=YES
NS-0073 | themes=rupture | ai_referent=YES
NS-0079 | themes=none | ai_referent=YES
NS-0067 | themes=none | ai_referent=YES
NS-0112 | themes=none | ai_referent=NO
NS-0075 | themes=none | ai_referent=NO
NS-0155 | themes=none | ai_referent=NO
NS-0080 | themes=rupture | ai_referent=YES
NS-0117 | themes=none | ai_referent=NO
NS-0127 | themes=none | ai_referent=YES
NS-0095 | themes=none | ai_referent=NO
NS-0018 | themes=none | ai_referent=NO
NS-0009 | themes=none | ai_referent=NO
NS-0111 | themes=none | ai_referent=NO
NS-0053 | themes=none | ai_referent=NO
NS-0060 | themes=none | ai_referent=NO
NS-0150 | themes=rupture | ai_referent=YES
NS-0062 | themes=romance | ai_referent=YES
NS-0004 | themes=rupture | ai_referent=YES
NS-0003 | themes=none | ai_referent=NO
NS-0016 | themes=none | ai_referent=NO
NS-0088 | themes=none | ai_referent=NO
NS-0159 | themes=none | ai_referent=NO
