ID-8840 | topical=YES | strict=YES | fp=-
ID-8841 | topical=YES | strict=YES | fp=-
ID-8842 | topical=YES | strict=YES | fp=-
ID-8843 | topical=YES | strict=YES | fp=-
ID-8844 | topical=YES | strict=YES | fp=-
ID-8845 | topical=YES | strict=NO | fp=theme-mismatch
ID-8846 | topical=YES | strict=YES | fp=-
ID-8847 | topical=YES | strict=YES | fp=-
ID-8848 | topical=YES | strict=YES | fp=-
ID-8849 | topical=NO | strict=NO | fp=theme-mismatch
ID-8850 | topical=YES | strict=YES | fp=-
ID-8851 | topical=YES | strict=YES | fp=-
ID-8852 | topical=YES | strict=BORD | fp=thin-removed
ID-8853 | topical=YES | strict=BORD | fp=ambiguous
ID-8854 | topical=YES | strict=YES | fp=-
ID-8855 | topical=YES | strict=YES | fp=-
ID-8856 | topical=YES | strict=BORD | fp=thin-removed
ID-8857 | topical=YES | strict=YES | fp=-
ID-8858 | topical=YES | strict=YES | fp=-
ID-8859 | topical=YES | strict=YES | fp=-
ID-8860 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8861 | topical=YES | strict=BORD | fp=thin-removed
ID-8862 | topical=YES | strict=YES | fp=-
ID-8863 | topical=YES | strict=YES | fp=-
ID-8864 | topical=YES | strict=YES | fp=-
ID-8865 | topical=YES | strict=YES | fp=-
ID-8866 | topical=YES | strict=YES | fp=-
ID-8867 | topical=YES | strict=YES | fp=-
ID-8868 | topical=YES | strict=NO | fp=thin-removed
ID-8869 | topical=YES | strict=YES | fp=-
ID-8870 | topical=YES | strict=YES | fp=-
ID-8871 | topical=YES | strict=YES | fp=-
ID-8872 | topical=YES | strict=YES | fp=-
ID-8873 | topical=YES | strict=YES | fp=-
ID-8874 | topical=YES | strict=YES | fp=-
ID-8875 | topical=YES | strict=YES | fp=-
ID-8876 | topical=YES | strict=YES | fp=-
ID-8877 | topical=YES | strict=YES | fp=-
ID-8878 | topical=YES | strict=YES | fp=-
ID-8879 | topical=YES | strict=YES | fp=-
