ID-8920 | topical=YES | strict=YES | fp=-
ID-8921 | topical=YES | strict=YES | fp=-
ID-8922 | topical=YES | strict=NO | fp=thin-removed
ID-8923 | topical=YES | strict=YES | fp=-
ID-8924 | topical=YES | strict=YES | fp=-
ID-8925 | topical=YES | strict=YES | fp=-
ID-8926 | topical=YES | strict=YES | fp=-
ID-8927 | topical=YES | strict=YES | fp=-
ID-8928 | topical=YES | strict=YES | fp=-
ID-8929 | topical=YES | strict=YES | fp=-
ID-8930 | topical=YES | strict=YES | fp=-
ID-8931 | topical=YES | strict=YES | fp=-
ID-8932 | topical=YES | strict=YES | fp=-
ID-8933 | topical=YES | strict=NO | fp=thin-removed
ID-8934 | topical=YES | strict=YES | fp=-
ID-8935 | topical=YES | strict=YES | fp=-
ID-8936 | topical=YES | strict=NO | fp=thin-removed
ID-8937 | topical=YES | strict=YES | fp=-
ID-8938 | topical=YES | strict=YES | fp=-
ID-8939 | topical=YES | strict=YES | fp=-
ID-8940 | topical=YES | strict=YES | fp=-
ID-8941 | topical=YES | strict=YES | fp=-
ID-8942 | topical=YES | strict=YES | fp=-
ID-8943 | topical=YES | strict=YES | fp=-
ID-8944 | topical=YES | strict=YES | fp=-
ID-8945 | topical=YES | strict=YES | fp=-
ID-8946 | topical=YES | strict=YES | fp=-
ID-8947 | topical=YES | strict=YES | fp=-
ID-8948 | topical=YES | strict=NO | fp=thin-removed
ID-8949 | topical=YES | strict=YES | fp=-
ID-8950 | topical=YES | strict=YES | fp=-
ID-8951 | topical=YES | strict=YES | fp=-
ID-8952 | topical=YES | strict=NO | fp=thin-removed
ID-8953 | topical=YES | strict=YES | fp=-
ID-8954 | topical=YES | strict=YES | fp=-
ID-8955 | topical=YES | strict=YES | fp=-
ID-8956 | topical=YES | strict=YES | fp=-
ID-8957 | topical=YES | strict=YES | fp=-
ID-8958 | topical=YES | strict=YES | fp=-
ID-8959 | topical=YES | strict=YES | fp=-
