ID-8160 | topical=YES | strict=YES | fp=-
ID-8161 | topical=YES | strict=YES | fp=-
ID-8162 | topical=YES | strict=NO | fp=theme-mismatch
ID-8163 | topical=YES | strict=BORD | fp=ambiguous
ID-8164 | topical=NO | strict=NO | fp=wrong-referent
ID-8165 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8166 | topical=YES | strict=YES | fp=-
ID-8167 | topical=YES | strict=YES | fp=-
ID-8168 | topical=YES | strict=YES | fp=-
ID-8169 | topical=NO | strict=NO | fp=bot-card
ID-8170 | topical=NO | strict=NO | fp=theme-mismatch
ID-8171 | topical=YES | strict=YES | fp=-
ID-8172 | topical=YES | strict=YES | fp=-
ID-8173 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8174 | topical=YES | strict=YES | fp=-
ID-8175 | topical=YES | strict=NO | fp=ironic-rejection
ID-8176 | topical=YES | strict=NO | fp=theme-mismatch
ID-8177 | topical=YES | strict=YES | fp=-
ID-8178 | topical=YES | strict=YES | fp=-
ID-8179 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8180 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8181 | topical=YES | strict=YES | fp=-
ID-8182 | topical=YES | strict=YES | fp=-
ID-8183 | topical=YES | strict=YES | fp=-
ID-8184 | topical=YES | strict=YES | fp=-
ID-8185 | topical=NO | strict=NO | fp=theme-mismatch
ID-8186 | topical=YES | strict=YES | fp=-
ID-8187 | topical=YES | strict=BORD | fp=theme-mismatch
ID-8188 | topical=YES | strict=YES | fp=-
ID-8189 | topical=YES | strict=NO | fp=thin-removed
ID-8190 | topical=YES | strict=YES | fp=-
ID-8191 | topical=YES | strict=YES | fp=-
ID-8192 | topical=YES | strict=YES | fp=-
ID-8193 | topical=NO | strict=NO | fp=bot-card
ID-8194 | topical=YES | strict=BORD | fp=rp-internal
ID-8195 | topical=YES | strict=YES | fp=-
ID-8196 | topical=NO | strict=NO | fp=third-party
ID-8197 | topical=YES | strict=BORD | fp=ambiguous
ID-8198 | topical=NO | strict=NO | fp=theme-mismatch
ID-8199 | topical=YES | strict=YES | fp=-
